,id,frame_num,box_height,box_width,box_xc_pixels,box_yc_pixels,box_xc_cm,box_yc_cm,Gender,Age
202,12,33,50,19,105,51,70,2131,Female,41-60
203,13,33,51,21,125,48,127,2191,Female,60+
204,0,34,43,13,111,31,101,3083,Female,41-60
205,1,34,42,14,125,32,147,3085,Male,26-40
206,2,34,44,14,83,42,10,2611,Female,26-40
207,3,34,41,15,87,39,25,2835,Female,0-18
208,12,34,50,19,105,51,70,2131,Male,41-60
209,13,34,51,21,125,48,127,2191,Female,0-18
210,0,35,43,13,111,31,101,3083,Male,60+
211,1,35,43,14,125,31,147,3085,Female,41-60
212,2,35,44,15,84,42,14,2611,Male,60+
213,3,35,41,15,87,39,25,2835,Female,26-40
214,12,35,51,19,105,50,70,2131,Male,19-25
215,13,35,51,21,125,48,127,2191,Male,0-18
216,0,36,43,13,111,31,101,3083,Male,60+
217,1,36,43,14,125,31,147,3085,Female,0-18
218,2,36,44,15,84,42,14,2611,Male,26-40
219,3,36,41,15,88,39,28,2835,Female,41-60
220,12,36,51,19,105,50,70,2131,Male,19-25
221,13,36,52,21,125,48,126,2161,Male,60+
222,0,37,43,13,111,31,101,3083,Male,41-60
223,1,37,43,14,124,31,144,3085,Male,26-40
224,2,37,44,15,84,42,14,2611,Male,60+
225,3,37,41,15,88,39,28,2835,Male,26-40
226,12,37,51,19,105,50,70,2131,Male,26-40
227,13,37,52,20,125,48,125,2161,Male,0-18
228,0,38,42,13,111,32,101,3083,Male,26-40
229,1,38,43,14,124,31,144,3085,Female,60+
230,2,38,44,15,84,42,14,2611,Male,0-18
231,3,38,41,15,88,39,28,2835,Female,41-60
232,12,38,50,20,106,50,75,2160,Male,19-25
233,13,38,52,20,125,48,125,2161,Male,19-25
234,0,39,42,13,111,32,101,3083,Female,60+
235,1,39,43,14,124,31,144,3085,Female,60+
236,2,39,44,17,85,42,20,2611,Female,19-25
237,3,39,41,15,89,39,31,2835,Female,41-60
238,12,39,50,20,106,50,75,2160,Male,0-18
239,13,39,52,20,125,48,125,2161,Male,19-25
240,0,40,42,13,111,32,101,3083,Female,41-60
241,1,40,43,14,124,31,144,3085,Male,41-60
242,2,40,44,17,85,42,20,2611,Female,26-40
243,3,40,41,15,89,39,31,2835,Female,0-18
244,12,40,50,21,106,49,77,2189,Male,26-40
245,13,40,52,20,126,48,127,2161,Female,0-18
246,0,41,42,13,111,32,101,3083,Female,41-60
247,1,41,43,13,123,31,139,3085,Female,26-40
248,2,41,44,18,87,42,27,2611,Male,0-18
249,3,41,41,15,89,39,31,2835,Male,26-40
250,12,41,50,21,106,49,77,2189,Male,0-18
251,13,41,52,20,126,48,127,2161,Female,60+
252,0,42,42,13,111,32,101,3083,Male,0-18
253,1,42,43,13,123,31,139,3085,Female,41-60
254,2,42,44,18,87,42,27,2611,Female,26-40
255,3,42,41,15,89,39,31,2835,Female,60+
256,12,42,50,21,106,49,77,2189,Female,19-25
257,13,42,52,19,126,48,126,2161,Male,19-25
258,0,43,42,13,111,32,101,3083,Female,60+
259,1,43,42,13,123,32,139,3085,Male,60+
260,2,43,44,18,87,42,27,2611,Female,0-18
261,3,43,41,15,89,39,31,2835,Female,0-18
262,12,43,50,21,107,49,80,2190,Female,19-25
263,13,43,52,19,126,48,126,2161,Female,41-60
264,0,44,42,13,111,32,101,3083,Male,26-40
265,1,44,42,13,123,32,139,3085,Female,26-40
266,2,44,44,18,87,42,27,2611,Male,19-25
267,3,44,41,14,90,39,33,2835,Male,19-25
268,12,44,50,21,107,49,80,2190,Male,19-25
269,13,44,52,19,126,48,126,2161,Female,0-18
270,0,45,42,13,111,32,101,3083,Female,60+
271,1,45,42,14,124,32,144,3085,Female,26-40
272,2,45,44,17,87,42,26,2611,Female,60+
273,3,45,41,14,90,39,33,2835,Male,0-18
274,12,45,50,21,107,49,80,2190,Male,26-40
275,13,45,52,19,126,48,126,2161,Male,60+
276,0,46,42,13,111,32,101,3083,Female,26-40
277,1,46,42,14,124,32,144,3085,Male,41-60
278,2,46,44,17,87,42,26,2611,Male,19-25
279,3,46,41,14,90,39,33,2835,Female,0-18
280,12,46,50,20,108,49,81,2190,Male,41-60
281,13,46,52,19,126,48,126,2161,Male,60+
282,0,47,42,13,111,32,101,3083,Female,60+
283,1,47,42,14,124,32,144,3085,Male,41-60
284,2,47,45,17,87,41,26,2611,Female,60+
285,3,47,41,14,90,39,33,2835,Male,0-18
286,12,47,50,20,108,49,81,2190,Female,19-25
287,13,47,52,19,126,48,126,2161,Male,41-60
288,0,48,42,13,111,32,101,3083,Male,41-60
289,1,48,42,13,124,32,142,3085,Male,0-18
290,2,48,45,17,88,41,29,2611,Female,0-18
291,3,48,41,14,90,39,33,2835,Female,0-18
292,12,48,50,20,108,49,81,2190,Female,26-40
293,13,48,52,19,127,48,129,2161,Female,60+
294,0,49,42,13,111,32,101,3083,Female,19-25
295,1,49,42,13,124,32,142,3085,Female,0-18
296,2,49,45,17,88,41,29,2611,Male,60+
297,3,49,41,14,90,39,33,2835,Female,19-25
298,12,49,49,20,108,49,82,2220,Female,41-60
299,13,49,52,19,127,47,130,2191,Male,41-60
300,0,50,42,13,111,32,101,3083,Female,41-60
301,1,50,42,13,124,32,142,3085,Female,60+
302,2,50,46,16,89,41,30,2576,Female,41-60
303,3,50,41,14,90,39,33,2835,Female,0-18
304,12,50,49,20,108,49,82,2220,Male,41-60
305,13,50,52,19,127,47,130,2191,Male,19-25
306,0,51,42,13,111,32,101,3083,Female,26-40
307,1,51,42,13,124,32,142,3085,Male,26-40
308,2,51,46,16,89,41,30,2576,Female,26-40
309,3,51,41,14,90,39,33,2835,Female,41-60
310,12,51,49,20,108,49,82,2220,Male,26-40
311,13,51,52,19,127,47,130,2191,Female,41-60
312,0,52,41,13,111,32,102,3126,Female,26-40
313,1,52,42,13,124,32,142,3085,Male,26-40
314,2,52,46,16,89,41,30,2576,Female,0-18
315,3,52,41,13,90,39,31,2835,Male,19-25
316,12,52,50,20,108,49,81,2190,Male,0-18
317,13,52,51,19,127,46,132,2251,Female,26-40
318,0,53,41,13,111,32,102,3126,Female,60+
319,1,53,42,13,124,32,142,3085,Male,60+
320,2,53,46,16,89,41,30,2576,Female,60+
321,3,53,41,13,90,39,31,2835,Male,60+
322,12,53,50,20,108,49,81,2190,Male,60+
323,13,53,51,19,127,46,132,2251,Male,19-25
324,0,54,41,13,111,32,102,3126,Female,19-25
325,1,54,42,13,124,32,142,3085,Male,0-18
326,2,54,46,16,89,41,30,2576,Male,60+
327,3,54,41,13,90,39,31,2835,Male,41-60
328,12,54,49,20,108,48,82,2250,Female,60+
329,13,54,51,19,127,46,132,2251,Female,19-25
330,0,55,41,14,112,32,107,3126,Male,0-18
331,1,55,42,14,125,32,147,3085,Female,41-60
332,2,55,46,18,90,41,36,2576,Female,41-60
333,3,55,41,13,90,39,31,2835,Male,26-40
334,12,55,49,20,108,48,82,2250,Female,60+
335,13,55,51,19,127,46,132,2251,Male,41-60
336,0,56,41,14,112,32,107,3126,Male,19-25
337,1,56,42,14,125,32,147,3085,Male,19-25
338,2,56,46,17,90,41,34,2576,Female,60+
339,3,56,41,14,90,39,33,2835,Female,26-40
340,12,56,49,20,108,48,82,2250,Male,26-40
341,13,56,51,19,127,46,132,2251,Male,26-40
342,0,57,41,14,112,32,107,3126,Female,41-60
343,1,57,42,14,125,32,147,3085,Male,0-18
344,2,57,46,18,92,41,41,2576,Female,19-25
345,3,57,41,14,89,39,30,2835,Female,60+
346,12,57,50,20,108,48,82,2220,Male,41-60
347,13,57,51,19,127,46,132,2251,Male,26-40
348,0,58,41,14,112,32,107,3126,Female,0-18
349,1,58,42,14,125,32,147,3085,Female,19-25
350,2,58,46,18,92,41,41,2576,Female,0-18
351,3,58,41,12,89,39,27,2835,Male,19-25
352,12,58,50,20,108,48,82,2220,Male,60+
353,13,58,51,19,127,46,132,2251,Male,26-40
354,0,59,41,14,112,32,107,3126,Female,41-60
355,1,59,42,14,125,32,147,3085,Male,26-40
356,2,59,46,18,92,41,41,2576,Male,0-18
357,3,59,41,12,88,39,24,2834,Male,41-60
358,12,59,50,20,108,48,82,2220,Female,26-40
359,13,59,51,19,127,46,132,2251,Male,0-18
360,0,60,41,14,112,32,107,3126,Female,60+
361,1,60,42,14,125,32,147,3085,Female,60+
362,2,60,45,17,92,41,40,2612,Female,19-25
363,3,60,41,12,88,39,24,2834,Female,0-18
364,12,60,50,21,108,48,83,2220,Male,41-60
365,13,60,51,19,127,46,132,2251,Female,41-60
366,0,61,41,14,112,32,107,3126,Male,41-60
367,1,61,41,14,125,32,148,3128,Female,26-40
368,2,61,45,17,92,41,40,2612,Female,60+
369,3,61,41,13,87,39,22,2834,Male,19-25
370,12,61,50,21,108,48,83,2220,Female,60+
371,13,61,51,19,128,46,135,2251,Male,41-60
372,0,62,41,14,112,32,107,3126,Female,0-18
373,1,62,41,14,125,32,148,3128,Female,60+
374,2,62,45,18,93,41,45,2612,Male,41-60
375,3,62,41,13,87,39,22,2834,Male,41-60
376,12,62,50,20,109,48,84,2220,Female,0-18
377,13,62,51,19,128,46,135,2251,Female,26-40
378,0,63,41,14,112,32,107,3126,Female,41-60
379,1,63,41,14,125,32,148,3128,Male,26-40
380,2,63,45,18,93,41,45,2612,Female,60+
381,3,63,41,13,87,39,22,2834,Female,0-18
382,12,63,50,19,109,48,83,2220,Female,19-25
383,13,63,51,19,128,46,135,2251,Male,0-18
384,0,64,41,14,112,32,107,3126,Male,0-18
385,1,64,41,14,125,32,148,3128,Male,0-18
386,2,64,45,18,93,41,45,2612,Female,41-60
387,3,64,41,12,87,39,21,2834,Female,0-18
388,12,64,50,19,109,48,83,2220,Male,26-40
389,13,64,51,19,128,46,135,2251,Male,26-40
390,0,65,41,14,112,32,107,3126,Female,60+
391,1,65,41,14,125,32,148,3128,Male,26-40
392,2,65,45,19,94,41,49,2612,Male,41-60
393,3,65,41,12,87,39,21,2834,Female,26-40
394,12,65,50,19,109,48,83,2220,Male,19-25
395,13,65,50,20,129,46,140,2282,Female,41-60
396,0,66,41,14,112,32,107,3126,Female,19-25
397,1,66,41,14,125,32,148,3128,Female,19-25
398,2,66,45,18,95,41,51,2612,Female,19-25
399,3,66,42,12,87,40,20,2758,Male,60+
400,12,66,50,18,110,48,84,2220,Female,60+
401,13,66,50,20,129,46,140,2282,Male,19-25
402,0,67,41,14,112,32,107,3126,Male,0-18
403,1,67,41,14,125,32,148,3128,Female,0-18
404,2,67,44,18,95,42,51,2612,Male,26-40
405,3,67,42,12,87,40,20,2758,Female,60+
406,12,67,50,18,111,48,87,2220,Female,19-25
407,13,67,51,20,129,45,140,2282,Male,19-25
408,0,68,41,14,112,32,107,3126,Male,19-25
409,1,68,41,14,125,32,148,3128,Female,41-60
410,2,68,44,18,96,42,53,2612,Female,41-60
411,3,68,43,13,86,40,18,2720,Male,41-60
412,12,68,50,18,111,48,87,2220,Male,60+
413,13,68,51,20,129,45,140,2282,Male,19-25
414,0,69,41,14,112,32,107,3126,Male,26-40
415,1,69,40,14,125,32,150,3172,Male,26-40
416,2,69,44,18,96,42,53,2612,Male,60+
417,3,69,43,13,86,40,18,2720,Male,0-18
418,12,69,50,18,111,48,87,2220,Female,0-18
419,13,69,51,20,129,45,140,2282,Female,19-25
420,0,70,41,14,112,32,107,3126,Male,19-25
421,1,70,40,14,125,32,150,3172,Female,0-18
422,2,70,44,18,96,42,53,2612,Male,19-25
423,3,70,43,13,86,40,18,2720,Male,41-60
424,12,70,49,19,111,47,90,2281,Female,0-18
425,13,70,51,20,130,45,142,2283,Male,26-40
426,0,71,41,14,112,32,107,3126,Female,60+
427,1,71,40,14,125,32,150,3172,Female,26-40
428,2,71,43,18,96,42,54,2648,Male,26-40
429,3,71,43,13,86,40,18,2720,Female,19-25
430,12,71,49,19,111,47,90,2281,Female,26-40
431,13,71,51,20,130,45,142,2283,Male,26-40
432,0,72,41,14,112,32,107,3126,Male,41-60
433,1,72,40,14,125,32,150,3172,Female,41-60
434,2,72,43,17,96,42,53,2648,Female,41-60
435,3,72,43,13,86,40,18,2720,Male,60+
436,12,72,50,18,112,47,90,2250,Male,0-18
437,13,72,51,20,130,45,142,2283,Female,26-40
438,0,73,41,14,111,32,103,3126,Male,0-18
439,1,73,40,15,124,32,148,3172,Female,41-60
440,2,73,43,15,97,42,53,2648,Male,26-40
441,3,73,43,13,86,40,18,2720,Male,26-40
442,12,73,50,18,112,47,90,2250,Male,19-25
443,13,73,51,20,130,45,142,2283,Female,41-60
444,0,74,41,14,111,32,103,3126,Female,19-25
445,1,74,40,15,124,32,148,3172,Female,0-18
446,2,74,43,15,97,42,53,2648,Female,60+
447,3,74,43,13,86,40,18,2720,Male,41-60
448,12,74,50,19,112,47,92,2250,Female,0-18
449,13,74,51,20,131,45,145,2283,Male,41-60
450,0,75,41,14,111,32,103,3126,Male,60+
451,1,75,40,14,124,32,147,3172,Female,26-40
452,2,75,43,15,97,42,53,2648,Male,26-40
453,3,75,43,13,86,40,18,2720,Male,41-60
454,12,75,50,19,112,47,92,2250,Female,0-18
455,13,75,51,20,131,45,145,2283,Male,26-40
456,0,76,40,13,110,33,99,3126,Female,0-18
457,1,76,40,14,124,32,147,3172,Male,19-25
458,2,76,43,15,97,42,53,2648,Female,0-18
459,3,76,43,13,86,40,18,2720,Female,26-40
460,12,76,50,19,112,47,92,2250,Male,41-60
461,13,76,51,19,131,45,144,2283,Male,41-60
462,0,77,40,13,110,33,99,3126,Male,60+
463,1,77,40,14,124,32,147,3172,Male,19-25
464,2,77,43,15,97,42,53,2648,Male,41-60
465,3,77,43,13,86,40,18,2720,Male,26-40
466,12,77,50,19,112,47,92,2250,Male,60+
467,13,77,51,19,131,45,144,2283,Male,19-25
468,0,78,41,12,110,32,97,3126,Male,26-40
469,1,78,41,14,124,32,145,3128,Male,19-25
470,2,78,43,15,97,42,53,2648,Female,41-60
471,3,78,43,13,86,40,18,2720,Male,0-18
472,12,78,50,19,112,47,92,2250,Male,0-18
473,13,78,51,19,131,45,144,2283,Female,26-40
474,0,79,41,12,110,32,97,3126,Male,26-40
475,1,79,41,14,124,32,145,3128,Female,41-60
476,2,79,43,15,97,42,53,2648,Male,0-18
477,3,79,43,13,86,40,18,2720,Female,26-40
478,12,79,50,19,112,47,92,2250,Male,0-18
479,13,79,51,19,131,45,144,2283,Female,0-18
480,0,80,41,11,109,32,92,3126,Female,41-60
481,1,80,41,14,124,32,145,3128,Female,41-60
482,2,80,43,15,97,42,53,2648,Male,26-40
483,3,80,43,13,86,40,18,2720,Male,19-25
484,12,80,50,19,112,47,92,2250,Male,0-18
485,13,80,50,20,132,45,149,2314,Male,60+
486,0,81,41,11,109,32,92,3126,Female,26-40
487,1,81,41,14,124,32,145,3128,Female,19-25
488,2,81,43,15,97,42,53,2648,Female,19-25
489,3,81,44,13,86,41,18,2647,Female,41-60
490,12,81,49,19,112,47,92,2281,Female,60+
491,13,81,50,20,132,45,149,2314,Female,41-60
492,0,82,41,11,109,32,92,3126,Female,60+
493,1,82,41,14,124,32,145,3128,Male,41-60
494,2,82,43,15,97,42,53,2648,Female,41-60
495,3,82,44,13,86,41,18,2647,Female,41-60
496,12,82,49,19,112,47,92,2281,Male,19-25
497,13,82,50,20,132,45,149,2314,Male,26-40
498,0,83,41,11,109,32,92,3126,Male,19-25
499,1,83,41,14,124,32,145,3128,Male,41-60
500,2,83,43,14,98,42,54,2648,Female,0-18
501,3,83,43,13,86,41,18,2683,Female,19-25
502,12,83,49,19,112,47,92,2281,Male,19-25
503,13,83,51,21,132,44,150,2314,Female,41-60
504,0,84,41,10,109,32,91,3126,Male,41-60
505,1,84,41,14,124,32,145,3128,Female,0-18
506,2,84,43,13,98,42,53,2648,Male,26-40
507,3,84,43,13,86,41,18,2683,Male,0-18
508,12,84,49,19,112,47,92,2281,Male,0-18
509,13,84,51,21,132,44,150,2314,Male,26-40
510,0,85,41,10,109,32,91,3126,Female,0-18
511,1,85,41,14,124,32,145,3128,Female,26-40
512,2,85,43,13,98,42,53,2648,Male,60+
513,3,85,44,13,86,42,17,2611,Female,19-25
514,12,85,48,18,113,47,95,2312,Female,41-60
515,13,85,51,21,132,44,150,2314,Female,0-18
516,0,86,41,10,109,32,91,3126,Female,26-40
517,1,86,42,14,124,33,142,3042,Female,19-25
518,2,86,43,13,98,42,53,2648,Female,41-60
519,3,86,44,13,86,42,17,2611,Female,26-40
520,12,86,48,18,113,47,95,2312,Male,0-18
521,13,86,51,21,132,44,150,2314,Female,0-18
522,0,87,41,10,108,33,87,3082,Female,19-25
523,1,87,42,14,124,33,142,3042,Female,60+
524,2,87,43,13,98,42,53,2648,Female,60+
525,3,87,44,13,86,42,17,2611,Female,0-18
526,12,87,48,18,113,47,95,2312,Female,19-25
527,13,87,51,21,132,44,150,2314,Male,0-18
528,0,88,41,10,108,33,87,3082,Male,26-40
529,1,88,42,14,124,33,142,3042,Male,19-25
530,2,88,43,13,98,42,53,2648,Male,60+
531,3,88,44,15,86,42,20,2611,Male,41-60
532,12,88,49,18,113,46,95,2312,Female,60+
533,13,88,51,20,133,44,152,2314,Male,26-40
534,0,89,41,10,108,33,87,3082,Male,0-18
535,1,89,42,14,124,33,142,3042,Female,26-40
536,2,89,43,13,98,42,53,2648,Female,19-25
